external_id,brand,processor,ram,ssd,hard_disk,operating_system,graphics,screen_size,resolution
LAP-000478,Microsoft,12th Gen Core i7,8,256,0,Windows,Intel Iris Xe,13.5,2256x1504
LAP-000479,Microsoft,12th Gen Core i7,16,256,0,Windows,Intel Iris Xe Graphics,13.0,2880x1920
LAP-000480,Microsoft,12th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,13.0,2880x1920
LAP-000481,Microsoft,12th Gen Core i7,16,512,0,Windows,Intel Iris Xe,15.0,2496x1664
LAP-000482,Dell,Ryzen 5 5500U,8,512,0,Windows,AMD Radeon AMD,14.0,1920x1080
LAP-000483,Lenovo,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA GeForce RTX 3070Ti,16.0,2560x1600
LAP-000484,Lenovo,10th Gen Core i3,4,256,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000485,Acer,11th Gen Core i5,12,512,0,Windows,Intel Iris Xe,15.6,1920x1080
LAP-000486,Asus,Celeron N4500,4,256,0,Windows,Intel UHD Graphics,14.0,1920x1080
LAP-000487,Asus,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe,15.6,1920x1080
LAP-000488,Lenovo,11th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,14.0,1920x1080
LAP-000489,Acer,Ryzen 5 5500U,8,512,0,Windows,AMD Radeon 5500U,14.0,1920x1080
LAP-000490,Lenovo,11th Gen Core i3,8,512,0,DOS,Intel Integrated UHD,15.6,1920x1080
LAP-000491,Dell,12th Gen Core i7,16,1000,0,Windows,Iris Xe,13.4,1920x1080
LAP-000492,Dell,Ryzen 7 5700U,16,512,0,Windows,AMD Radeon AMD,14.0,1920x1080
LAP-000493,HP,AMD Ryzen 7 5800H,8,512,0,Windows,4 GB AMD Radeon RX 5500M Graphics,16.0,1920x1080
LAP-000494,Asus,Pentium Silver N5030,8,256,0,Windows,Intel Integrated UHD,14.1,1366x768
LAP-000495,Asus,10th Gen Core i5,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000496,Dell,12th Gen Core i5,8,512,0,Windows,2 GB NVIDIA MX550,15.6,1920x1080
LAP-000497,Dell,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920x1080
LAP-000498,Acer,AMD Ryzen 3 3250U,8,0,1000,Windows,AMD Radeon Radeon Graphics,14.0,1366x768
LAP-000499,HP,11th Gen Core i3,8,256,0,Windows,Intel Integrated,15.6,1920x1080
LAP-000500,Asus,10th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000501,Lenovo,12th Gen Core i3,8,512,0,Windows,‎Intel UHD Graphics,15.6,1920x1080
LAP-000502,Acer,Intel Celeron N4020,4,0,32,Chrome,Intel HD,11.6,1366x768
LAP-000503,Dell,11th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,14.0,1920x1080
LAP-000504,HP,AMD Ryzen 5 4500U,8,512,0,Windows,AMD Radeon,14.0,1920x1080
LAP-000505,Lenovo,Celeron N4020,4,256,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000506,Dell,AMD Ryzen 5 5625U,16,512,0,Windows,AMD Radeon Graphics,14.0,1920x1080
LAP-000507,Dell,Ryzen 9-6900HX,16,1000,0,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920x1080
LAP-000508,Dell,Ryzen 7 6800H,16,512,0,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920x1080
LAP-000509,Dell,Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA GeForce RTX 3070 Ti,15.6,1920x1080
LAP-000510,Dell,12th Gen Core i9,16,1000,0,Windows,8 GB NVIDIA GEFORCE RTX 3070 Ti,15.6,2560x1440
